in.county,time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
G4500070,2018-07-01T04:00:00Z,28.25,92.81,1.54,35.38,0,0,0
G4500070,2018-07-01T05:00:00Z,28.68,90.44,0.47,28.46,0,0,0
G4500070,2018-07-01T06:00:00Z,28.72,90.27,1.66,93.85,5,18.5,4.5
G4500070,2018-07-01T07:00:00Z,28.76,92.68,1.72,97.14,67,189,38
G4500070,2018-07-01T08:00:00Z,30.03,87.37,1.85,112.67,150.5,146.5,91.5
G4500070,2018-07-01T09:00:00Z,32.25,74.46,1.86,93.85,480,692.5,102.5
G4500070,2018-07-01T10:00:00Z,32.95,70.28,2.17,78.46,609,647,152
G4500070,2018-07-01T11:00:00Z,33.8,66.74,2.41,91.54,728,628,200
G4500070,2018-07-01T12:00:00Z,34.68,63.44,3.64,103.85,683.5,354.5,353.5
G4500070,2018-07-01T13:00:00Z,35.28,61.36,3.52,103.08,692,364,336
G4500070,2018-07-01T14:00:00Z,35.89,58.91,3.68,115.38,754.5,363,403
G4500070,2018-07-01T15:00:00Z,33.33,71.55,2.97,188.46,382,77,312.5
G4500070,2018-07-01T16:00:00Z,34.28,71.93,2.26,209.23,593,518.5,178
G4500070,2018-07-01T17:00:00Z,36.28,61.71,1.19,90.77,449.5,422,171.5
G4500070,2018-07-01T18:00:00Z,33.4,68.7,4.67,100.77,237.5,144,167.5
G4500070,2018-07-01T19:00:00Z,32.019999999999996,74.19,2.1,76.92,159.5,185.5,104
G4500070,2018-07-01T20:00:00Z,31.51,78.96,1.94,133.85,38,60.5,31
G4500070,2018-07-01T21:00:00Z,30.46,83.61,2.18,29.23,0,0,0
G4500070,2018-07-01T22:00:00Z,29.03,88.54,2.06,30,0,0,0
G4500070,2018-07-01T23:00:00Z,29.03,88.54,2.22,70,0,0,0
G4500070,2018-07-02T00:00:00Z,29.05,92.61,2.44,99.33,0,0,0
G4500070,2018-07-02T01:00:00Z,28.84,92.07,2.28,198.75,0,0,0
G4500070,2018-07-02T02:00:00Z,28.02,94.08,0.59,117.69,0,0,0
G4500070,2018-07-02T03:00:00Z,28.02,94.08,1.07,186.15,0,0,0
G4500070,2018-07-02T04:00:00Z,28.02,94.08,0.71,137.69,0,0,0
G4500070,2018-07-02T05:00:00Z,28.04,95.97,0,0,0,0,0
G4500070,2018-07-02T06:00:00Z,28.61,96.36,0.24,9.23,2,0,2
G4500070,2018-07-02T07:00:00Z,28.98,94.05,0.82,50,57,43.5,48
G4500070,2018-07-02T08:00:00Z,29.76,90.32,2.17,100,118.5,29.5,109
G4500070,2018-07-02T09:00:00Z,31.29,82.26,1.75,114.29,242,62,207
G4500070,2018-07-02T10:00:00Z,31.94,79.26,1.34,112.14,461.5,223,300
